"month","airport","direction","operator","trips","all_trips_month","all_trips_month_operator","airport_share_all_trips_pct","airport_share_operator_trips_pct","avg_fare","avg_distance_miles","avg_duration_min","trips_with_wait","wait_p50","wait_p90","sum_total_fare","sum_miles"
"2025-01-01","JFK","dropoff","Lyft",91142,20381630,5034919,0.4472,1.8102,70.77,14.186,36.82,83267,250.5,475.7,6449943.4,1292919.16
"2025-01-01","JFK","dropoff","Uber",279091,20381630,15346711,1.3693,1.8186,73.12,13.654,34.81,262848,241.8,487.8,20406237.58,3810571.04
"2025-01-01","JFK","pickup","Lyft",71537,20381630,5034919,0.351,1.4208,83.55,18.961,43.05,71376,407.9,817.7,5977176.19,1356431.71
"2025-01-01","JFK","pickup","Uber",294528,20381630,15346711,1.4451,1.9192,79.86,18.202,41.59,294431,434.3,821.7,23521936.3,5361114.21
"2025-01-01","LaGuardia","dropoff","Lyft",106245,20381630,5034919,0.5213,2.1102,53.5,9.28,25.17,96691,236,456.3,5684082.89,985961.44
"2025-01-01","LaGuardia","dropoff","Uber",265731,20381630,15346711,1.3038,1.7315,61.52,9.584,25.08,250383,221.4,441,16347315.01,2546685.62
"2025-01-01","LaGuardia","pickup","Lyft",89848,20381630,5034919,0.4408,1.7845,64.42,11.703,30.18,89704,149.9,610.9,5787595.79,1051511.98
"2025-01-01","LaGuardia","pickup","Uber",270814,20381630,15346711,1.3287,1.7646,69.15,11.353,29.07,270171,335,641.3,18727350.06,3074446.85
"2025-01-01","Newark","dropoff","Lyft",25430,20381630,5034919,0.1248,0.5051,104.92,17.766,38.69,22929,226.9,425.8,2668198.84,451801.87
"2025-01-01","Newark","dropoff","Uber",100552,20381630,15346711,0.4933,0.6552,108.54,17.477,37.19,92424,221,456.3,10913811.01,1757344.59
"2025-01-01","Newark","pickup","Uber",1,20381630,15346711,0,0,79.49,1.55,3.63,1,1617,1617,79.49,1.55
"2025-02-01","JFK","dropoff","Lyft",90668,19330310,4919500,0.469,1.843,69.36,14.401,38.35,81478,253.2,461.8,6288549.37,1305724.17
"2025-02-01","JFK","dropoff","Uber",285910,19330310,14410810,1.4791,1.984,72.78,13.803,36.65,271970,243.4,484.4,20807830.27,3946558.57
"2025-02-01","JFK","pickup","Lyft",67201,19330310,4919500,0.3476,1.366,75.3,18.761,43.61,67116,201.2,734.9,5060212.97,1260725.68
"2025-02-01","JFK","pickup","Uber",249114,19330310,14410810,1.2887,1.7287,77.48,17.971,42.19,249030,397,777.9,19300426.49,4476843.18
"2025-02-01","LaGuardia","dropoff","Lyft",102308,19330310,4919500,0.5293,2.0796,53.27,9.197,25.73,92571,237.5,442.9,5449812.97,940908.11
"2025-02-01","LaGuardia","dropoff","Uber",268020,19330310,14410810,1.3865,1.8599,62.12,9.598,25.99,254684,226,445.5,16649853.3,2572533.14
"2025-02-01","LaGuardia","pickup","Lyft",85511,19330310,4919500,0.4424,1.7382,61.51,11.946,31.43,85452,313.2,748,5259923.02,1021537.45
"2025-02-01","LaGuardia","pickup","Uber",253538,19330310,14410810,1.3116,1.7594,69.26,11.701,31.15,252756,335.5,770.3,17558839.66,2966592.39
"2025-02-01","Newark","dropoff","Lyft",25734,19330310,4919500,0.1331,0.5231,102.14,18.024,39.73,22905,230.6,417.8,2628393.9,463836.74
"2025-02-01","Newark","dropoff","Uber",110134,19330310,14410810,0.5697,0.7642,104.76,17.458,37.98,102358,230,468.4,11537241.84,1922722.08
"2025-02-01","Newark","pickup","Uber",1,19330310,14410810,0,0,90.81,16.27,57.43,1,4063,4063,90.81,16.27
"2025-03-01","JFK","dropoff","Lyft",123762,20466340,5926569,0.6047,2.0883,71.91,14.682,40.9,111827,257.6,473.8,8900157.89,1817041.32
"2025-03-01","JFK","dropoff","Uber",302361,20466340,14539771,1.4774,2.0795,81.28,13.9,38.08,284966,240.6,510.4,24576802.51,4202951.82
"2025-03-01","JFK","pickup","Lyft",106975,20466340,5926569,0.5227,1.805,80.49,18.81,46.75,106894,277.6,778.8,8610850.03,2012165.16
"2025-03-01","JFK","pickup","Uber",258228,20466340,14539771,1.2617,1.776,92.93,18.247,44.73,258152,383.4,766.1,23996697.59,4711998.84
"2025-03-01","LaGuardia","dropoff","Lyft",136670,20466340,5926569,0.6678,2.3061,54.61,9.23,26.73,124312,241.9,461.3,7463502.77,1261452.21
"2025-03-01","LaGuardia","dropoff","Uber",297742,20466340,14539771,1.4548,2.0478,67.33,9.648,26.89,280085,223,466,20045619.57,2872681.05
"2025-03-01","LaGuardia","pickup","Lyft",130990,20466340,5926569,0.64,2.2102,61.49,11.416,32.27,130925,317.5,755,8054439.78,1495432.77
"2025-03-01","LaGuardia","pickup","Uber",270095,20466340,14539771,1.3197,1.8576,78,11.834,32.16,269245,318.7,714.1,21067150.26,3196346.48
"2025-03-01","Newark","dropoff","Lyft",37114,20466340,5926569,0.1813,0.6262,101.51,17.882,41.39,33308,233.4,431.3,3767567.03,663667.77
"2025-03-01","Newark","dropoff","Uber",118862,20466340,14539771,0.5808,0.8175,111.91,17.481,39.2,109279,226.9,490.2,13301865.16,2077831.03
"2025-03-01","Newark","pickup","Uber",2,20466340,14539771,0,0,70.78,6.665,14.59,0,nan,nan,141.56,13.33
"2025-04-01","JFK","dropoff","Lyft",105482,19732810,5379211,0.5346,1.9609,74.95,14.438,40.5,96130,252.8,458.2,7905939.99,1522959.02
"2025-04-01","JFK","dropoff","Uber",299652,19732810,14353599,1.5185,2.0876,78.3,13.376,37.64,281550,235.4,483.2,23461786.8,4008047.88
"2025-04-01","JFK","pickup","Lyft",89505,19732810,5379211,0.4536,1.6639,86.02,19.2,48.07,89427,198.4,776.5,7699522.13,1718458.71
"2025-04-01","JFK","pickup","Uber",261243,19732810,14353599,1.3239,1.8201,91.11,17.542,44.28,261172,357.6,778.7,23801425.61,4582682.73
"2025-04-01","LaGuardia","dropoff","Lyft",120289,19732810,5379211,0.6096,2.2362,55.62,9.372,27.04,110212,239,446.7,6690062.53,1127332.39
"2025-04-01","LaGuardia","dropoff","Uber",312707,19732810,14353599,1.5847,2.1786,64.31,9.578,27.22,293698,220,440.3,20111378.54,2995259.66
"2025-04-01","LaGuardia","pickup","Lyft",117159,19732810,5379211,0.5937,2.178,66.47,12.447,34.75,117104,310,751.9,7787862.59,1458226.45
"2025-04-01","LaGuardia","pickup","Uber",286885,19732810,14353599,1.4538,1.9987,77.39,11.7,33.32,286251,305.8,704.4,22202195.38,3356430.77
"2025-04-01","Newark","dropoff","Lyft",30107,19732810,5379211,0.1526,0.5597,104.87,17.767,41.66,27459,232.8,425.7,3157290.18,534905.33
"2025-04-01","Newark","dropoff","Uber",102595,19732810,14353599,0.5199,0.7148,112.18,17.342,39.87,93382,218.6,454.6,11508777.73,1779241.56
"2025-05-01","JFK","dropoff","Lyft",126980,21081601,6051847,0.6023,2.0982,74.63,13.95,41.2,114883,265.2,494.2,9476781.77,1771403.91
"2025-05-01","JFK","dropoff","Uber",359825,21081601,15029754,1.7068,2.3941,84.56,14.096,42.22,335987,262.7,551.4,30426790.77,5071941.94
"2025-05-01","JFK","pickup","Lyft",102721,21081601,6051847,0.4873,1.6973,85.09,18.639,50.3,102637,292.5,792.7,8740561.83,1914632.31
"2025-05-01","JFK","pickup","Uber",269567,21081601,15029754,1.2787,1.7936,94.93,17.868,48.46,269317,338.9,754.9,25591173.31,4816676.77
"2025-05-01","LaGuardia","dropoff","Lyft",149875,21081601,6051847,0.7109,2.4765,55.41,9.227,28.74,135858,258.9,497,8304079.16,1382850.45
"2025-05-01","LaGuardia","dropoff","Uber",339212,21081601,15029754,1.609,2.2569,69.37,9.622,29.68,315542,249.5,515.7,23529845.33,3264038.06
"2025-05-01","LaGuardia","pickup","Lyft",154292,21081601,6051847,0.7319,2.5495,65.78,11.884,37.23,154248,339.8,869.3,10149407.3,1833652.65
"2025-05-01","LaGuardia","pickup","Uber",310901,21081601,15029754,1.4748,2.0686,85.44,12.233,38.13,310727,346.8,791.9,26563963.24,3803147.52
"2025-05-01","Newark","dropoff","Lyft",30307,21081601,6051847,0.1438,0.5008,107.92,17.785,44.38,27293,249.6,485.4,3270870.58,539011.94
"2025-05-01","Newark","dropoff","Uber",100184,21081601,15029754,0.4752,0.6666,115.74,17.581,43.97,91126,265.1,577.1,11595030.81,1761344.36
"2025-06-01","JFK","dropoff","Lyft",109133,19847094,5687930,0.5499,1.9187,76.11,14.008,41.29,97930,276.4,516.6,8306291.07,1528695.35
"2025-06-01","JFK","dropoff","Uber",349697,19847094,14159164,1.762,2.4698,81.22,13.775,41.61,328014,271,576.7,28402522.59,4816943.68
"2025-06-01","JFK","pickup","Lyft",89187,19847094,5687930,0.4494,1.568,85.52,18.239,48.51,89065,262.8,742.2,7627696.8,1626695.07
"2025-06-01","JFK","pickup","Uber",254490,19847094,14159164,1.2823,1.7974,91.77,17.394,46.6,254243,322.3,724,23353365.9,4426680.79
"2025-06-01","LaGuardia","dropoff","Lyft",125914,19847094,5687930,0.6344,2.2137,57.4,9.246,28.25,113115,264.3,508.6,7226978.39,1164253.5
"2025-06-01","LaGuardia","dropoff","Uber",335172,19847094,14159164,1.6888,2.3672,67.34,9.595,28.8,311578,248.2,506.9,22570946.37,3215936.2
"2025-06-01","LaGuardia","pickup","Lyft",124834,19847094,5687930,0.629,2.1947,68.99,11.898,36.28,124720,306.5,802.9,8612712.04,1485310.85
"2025-06-01","LaGuardia","pickup","Uber",311071,19847094,14159164,1.5673,2.197,82.5,11.973,35.95,310868,336.7,731.3,25663159.98,3724484.23
"2025-06-01","Newark","dropoff","Lyft",29671,19847094,5687930,0.1495,0.5216,107.83,17.662,44.42,26504,256.7,488.3,3199316.27,524045.7
"2025-06-01","Newark","dropoff","Uber",104358,19847094,14159164,0.5258,0.737,112.84,17.488,43.22,95373,268.4,592.3,11775826.68,1825062.35
"2025-07-01","JFK","dropoff","Lyft",107040,19631947,5498231,0.5452,1.9468,74.74,14.029,40.29,96141,255.9,468.9,7999642.47,1501687.64
"2025-07-01","JFK","dropoff","Uber",331040,19631947,14133716,1.6862,2.3422,75.26,13.111,37.98,311234,254.2,542,24914206.78,4340189.32
"2025-07-01","JFK","pickup","Lyft",93970,19631947,5498231,0.4787,1.7091,85.1,18.809,47.98,93845,231.2,723.5,7996546.57,1767468.32
"2025-07-01","JFK","pickup","Uber",246204,19631947,14133716,1.2541,1.742,88.36,17.086,43.66,245897,310.8,715.4,21753541.05,4206605.21
"2025-07-01","LaGuardia","dropoff","Lyft",124748,19631947,5498231,0.6354,2.2689,56.23,9.25,26.91,112035,240,450.1,7014941.63,1153891.05
