"month","segment","operator","trips","avg_fare","avg_driver_pay","fare_per_mile","tip_rate_on_fare","driver_pay_ratio","sum_base_fare","sum_total_fare","sum_tips","sum_driver_pay","sum_miles"
"2025-01-01","Airport","Lyft",379323,69.43,41.09,4.09,0.0762,0.7476,20845081.32,26335281.67,1589059.24,15584597.63,5092944.81
"2025-01-01","Airport","Uber",1197801,74.56,42.17,4.32,0.0588,0.7115,70992431.4,89313289.61,4176550.31,50512874.97,16434196.81
"2025-01-01","Manhattan","Lyft",2272010,30.28,18.05,5.35,0.0536,0.7762,52827495.59,68792457.78,2833243.24,41006379.68,9883161.8
"2025-01-01","Manhattan","Uber",6338652,34.29,19.41,5.67,0.0453,0.7207,170735100.48,217359665.29,7737223.94,123042681.53,30107026.58
"2025-01-01","Regular","Lyft",2383586,19.89,13.81,5.43,0.0336,0.7809,42167324.49,47418893.22,1415159.19,32929140.09,7764734.36
"2025-01-01","Regular","Uber",7810258,19.96,15.01,4.64,0.0254,0.8526,137456682.4,155875561.64,3493411.53,117201412.5,29597619.52
"2025-02-01","Airport","Lyft",367326,66.73,41.71,3.92,0.0753,0.7889,19421981.87,24512719.97,1462912.07,15322491.5,4955313.1
"2025-02-01","Airport","Uber",1154691,73.91,43.16,4.3,0.0585,0.7351,67800255.42,85347338.07,3966062.08,49839862.34,15782226.62
"2025-02-01","Manhattan","Lyft",2196246,31.04,18.8,5.31,0.05,0.7835,52703783.53,68163820.07,2632822.34,41295601.94,9930042.42
"2025-02-01","Manhattan","Uber",6013220,35.51,20.04,5.83,0.0424,0.7187,167657616.75,213533963.77,7106212.59,120501866.68,28739947.99
"2025-02-01","Regular","Lyft",2355928,20.38,14.23,5.32,0.0318,0.7846,42731684.69,48016113.09,1360210.25,33528981.05,8027308.46
"2025-02-01","Regular","Uber",7242899,20.7,15.1,4.84,0.0238,0.8249,132543984.84,149910692.79,3157228.74,109333922.85,27358151.3
"2025-03-01","Airport","Lyft",529873,68.93,44.23,4.04,0.0712,0.8075,29023547.61,36525255.98,2065203.49,23436382,7192742.86
