"month","operator","distance_bin_miles","trips","avg_distance_miles","avg_base_fare","avg_total_fare","fare_p50","fare_p90","avg_duration_min","sum_base_fare","sum_miles"
"2025-01-01","Lyft",0,617420,0.741,9.14,11.33,8.64,11.58,6.22,5645961.81,457531.02
"2025-01-01","Lyft",1,1279913,1.472,12.39,15.2,11.64,16.68,10.35,15863486.28,1883481.71
"2025-01-01","Lyft",2,827093,2.456,16.66,20.12,15.88,21.78,14.85,13780425.67,2030962.71
"2025-01-01","Lyft",3,546778,3.469,20.77,25.13,19.9,26.63,18.28,11358824.84,1896613.67
"2025-01-01","Lyft",4,372651,4.469,24.44,29.81,23.46,31.24,20.94,9108609.03,1665348.32
"2025-01-01","Lyft",5,273482,5.474,27.28,33.37,26.12,34.93,23.05,7459940.02,1496910
"2025-01-01","Lyft",6,202977,6.475,30.12,37,28.68,38.86,24.71,6113649.41,1314191.31
"2025-01-01","Lyft",7,158400,7.48,33.38,41.31,31.73,43.17,26.25,5287834.59,1184830.89
"2025-01-01","Lyft",8,127219,8.48,36.94,46.45,35.05,48.12,27.78,4698974.57,1078757.84
"2025-01-01","Lyft",9,107067,9.487,40.78,51.47,38.61,53.65,29.12,4365731.28,1015733.33
"2025-01-01","Lyft",10,88980,10.479,44,54.97,41.81,57.44,30.7,3915334.18,932429.16
"2025-01-01","Lyft",11,68249,11.481,46.58,57.9,44.37,60.28,32.88,3178859.37,783559.23
"2025-01-01","Lyft",12,50061,12.467,48.91,60.78,46.68,62.82,34.84,2448414.41,624108.26
"2025-01-01","Lyft",13,39204,13.484,52.14,65.46,49.75,67.24,36.05,2044257.46,528609.68
"2025-01-01","Lyft",14,32840,14.49,55.14,68.55,52.69,70.63,37.22,1810907.73,475846.23
"2025-01-01","Lyft",15,28328,15.486,58.34,72.33,55.66,75.46,38.98,1652595.91,438687.92
"2025-01-01","Lyft",16,31122,16.522,64.24,81.65,61.34,84.19,40.66,1999428.12,514208.48
"2025-01-01","Lyft",17,36082,17.494,69.45,88.18,66.49,90.93,43.52,2505855.02,631221.4
"2025-01-01","Lyft",18,27539,18.464,69.88,87.86,66.59,90.7,44.85,1924300.45,508484.06
"2025-01-01","Lyft",19,19440,19.469,71.09,89.33,67.63,91.83,45.44,1382013.46,378474.78
"2025-01-01","Lyft",20,14013,20.473,72.74,91.2,69.45,93.24,46.72,1019361.7,286881.68
"2025-01-01","Lyft",21,9857,21.476,74.99,94.02,71.67,96.69,48.25,739170.71,211688.57
"2025-01-01","Lyft",22,7873,22.48,77,96.5,73.78,98.45,48.65,606190.44,176981.38
"2025-01-01","Lyft",23,6487,23.478,78.6,98.18,75.57,99.91,48.21,509862.87,152304.4
"2025-01-01","Lyft",24,5946,24.501,80.24,99.68,77.58,103.53,48.45,477123.36,145683.47
"2025-01-01","Lyft",25,6058,25.497,80.59,99.69,77.98,102.55,48.71,488230.29,154457.93
"2025-01-01","Lyft",26,5973,26.489,82.48,101.31,79.98,106.1,49.29,492666.06,158220.58
"2025-01-01","Lyft",27,5738,27.51,86.13,106.82,83.11,111.17,50.29,494202.68,157849.83
"2025-01-01","Lyft",28,5014,28.474,88.57,110.14,85.39,113.88,52.02,444108.13,142770.06
"2025-01-01","Lyft",29,3718,29.484,92.29,113.95,88.59,119.7,53.56,343121.98,109623.01
"2025-01-01","Lyft",30,2977,30.481,97.03,119.34,93.01,126.61,54.63,288870.6,90742.21
"2025-01-01","Lyft",31,2652,31.495,99.95,122.32,96.1,128.27,55.54,265067.77,83523.92
"2025-01-01","Lyft",32,2572,32.478,99.89,122.11,96.37,127.02,55.69,256908.28,83534.34
"2025-01-01","Lyft",33,2003,33.485,105.84,128.62,101.18,136.12,58.04,212001.17,67071.34
"2025-01-01","Lyft",34,1699,34.492,108.44,130.79,104.11,140.97,58.7,184232.97,58602
"2025-01-01","Lyft",35,1533,35.485,112.04,134.5,106.71,146.14,59.46,171763.9,54398.53
"2025-01-01","Lyft",36,1396,36.485,112.92,135.78,107.65,144.69,60.88,157631.97,50933.28
"2025-01-01","Lyft",37,1285,37.495,114.9,137.76,110.67,146.68,62.22,147650.05,48180.57
"2025-01-01","Lyft",38,1358,38.488,117.44,139.42,112.68,153.07,62.9,159489.46,52266.69
"2025-01-01","Lyft",39,1187,39.479,118.02,140.58,112.98,153.09,64.3,140086.9,46862.03
"2025-01-01","Lyft",40,917,40.485,122.99,146.06,116.37,161.81,64.5,112781.93,37124.45
"2025-01-01","Lyft",41,797,41.483,126.22,149.82,119.95,165.38,65.54,100598.27,33061.89
"2025-01-01","Lyft",42,775,42.483,127.77,150.67,121.57,164.69,67.28,99018.24,32924.55
"2025-01-01","Lyft",43,724,43.516,129.32,152.78,123.15,167.09,68.46,93627.88,31505.7
"2025-01-01","Lyft",44,637,44.483,130.69,153.15,126.59,164.55,69.19,83246.73,28335.91
"2025-01-01","Lyft",45,671,45.488,133.29,156.36,127.28,174.11,68.35,89439.96,30522.29
"2025-01-01","Lyft",46,548,46.465,138.01,162.24,131.74,178.85,71.34,75628.62,25462.96
"2025-01-01","Lyft",47,508,47.495,139.73,164.37,135.01,176.21,72.17,70982.86,24127.37
"2025-01-01","Lyft",48,446,48.501,144.1,168.25,136.83,183.98,72.17,64269.05,21631.46
"2025-01-01","Lyft",49,419,49.504,149.37,174.9,144.78,184.29,74.85,62587.03,20742.12
"2025-01-01","Lyft",50,396,50.489,157.04,182.7,148.86,214.41,75.2,62188.06,19993.72
"2025-01-01","Lyft",51,308,51.481,156.71,182.42,150.02,203.86,77.23,48266.41,15856.16
"2025-01-01","Lyft",52,313,52.494,161.68,187.55,153.81,212.73,78.49,50607.06,16430.57
"2025-01-01","Lyft",53,265,53.489,164.93,191.81,159.68,203.47,80.55,43705.48,14174.46
"2025-01-01","Lyft",54,237,54.468,163.85,187.99,158.7,211.44,79.83,38833.09,12909.01
"2025-01-01","Lyft",55,216,55.491,174.22,199.87,164.56,235.07,83.32,37631.5,11986.08
"2025-01-01","Lyft",56,179,56.486,172.73,197.9,165.03,218.81,83.9,30918.79,10110.95
"2025-01-01","Lyft",57,161,57.5,171.35,199.13,168.72,209.17,84.4,27586.79,9257.55
"2025-01-01","Lyft",58,140,58.494,183.45,211.25,168.6,251.24,86.08,25683.24,8189.12
"2025-01-01","Lyft",59,123,59.536,174.79,202.08,168.35,211.17,85.82,21499.75,7322.96
"2025-01-01","Lyft",60,1955,80.105,234.1,266.91,219.25,323.66,107.68,457655.76,156605.87
"2025-01-01","Uber",0,1748970,0.74,10.21,12.61,8.94,14.27,5.85,17855623.51,1294629.5
"2025-01-01","Uber",1,3851213,1.46,13.12,15.98,11.61,19.44,9.85,50511377.55,5623116.41
"2025-01-01","Uber",2,2283358,2.456,17.87,21.33,16.07,26.36,14.43,40795014.94,5607436.56
"2025-01-01","Uber",3,1516354,3.464,21.56,25.73,19.67,31.41,17.9,32691381.02,5252372.78
"2025-01-01","Uber",4,1098079,4.47,24.43,29.38,22.5,35.26,20.61,26825291.4,4908709.29
"2025-01-01","Uber",5,827453,5.471,26.93,32.42,24.84,39.43,22.7,22286744.65,4526814.93
"2025-01-01","Uber",6,646627,6.476,29.08,35.16,26.8,42.48,24.34,18805801.82,4187532.38
"2025-01-01","Uber",7,520165,7.477,31.74,38.79,29.27,46.46,25.96,16510627.08,3889187.09
"2025-01-01","Uber",8,447826,8.485,34.83,43.58,32.1,50.81,27.26,15595972.51,3799803
"2025-01-01","Uber",9,407075,9.485,39.13,49.52,35.83,58.24,28.67,15927121.83,3861008.62
"2025-01-01","Uber",10,333544,10.47,41.9,52.4,38.36,62.27,30.49,13974974.7,3492310.24
"2025-01-01","Uber",11,248503,11.473,42.65,52.72,39.26,62.05,32.59,10599515.16,2851001.02
"2025-01-01","Uber",12,191229,12.474,44.43,54.95,41.07,64.37,34.31,8495753.82,2385330.17
"2025-01-01","Uber",13,157166,13.483,47.92,59.66,43.87,70.16,35.5,7530910.1,2119146.49
"2025-01-01","Uber",14,137438,14.485,51.29,63.59,47,75.11,36.88,7048510.48,1990786.19
