"month","hour_of_day","day_of_week","operator","trips","scheduled_rides","trips_with_wait","wait_p50","wait_p90","trips_wait_gt10","trips_wait_gt15","share_wait_gt10","share_wait_gt15","avg_duration_min","avg_speed_mph","avg_fare","shared_requests","shared_matches","wav_requests","wav_matches","sum_miles","sum_time_sec","sum_total_fare"
"2025-01-01",0,1,"Lyft",15789,26,15763,299.6,694.4,2156,905,0.1368,0.0574,16.36,20.34,29.23,0,0,22,22,87585.81,15500280,461464.22
"2025-01-01",0,1,"Uber",46365,66,46298,282.3,691.5,6363,2257,0.1374,0.0487,16.56,21.18,29.15,4553,2801,34,34,271133.6,46079345,1351703.74
"2025-01-01",0,2,"Lyft",13921,22,13899,260.2,599.2,1390,479,0.1,0.0345,16.08,20,27.05,0,0,27,27,74588.14,13427783,376575.36
"2025-01-01",0,2,"Uber",38060,52,38008,237.8,548.8,3045,860,0.0801,0.0226,16.19,21,28.26,3538,1872,22,22,215599.48,36965669,1075728.1
"2025-01-01",0,3,"Lyft",25498,336,25162,251.4,530.8,1738,373,0.0691,0.0148,16.63,16.7,30.33,0,0,28,28,118030.27,25438695,773230.6
"2025-01-01",0,3,"Uber",87304,394,86910,267.2,646.2,10904,2509,0.1255,0.0289,17.31,17.67,30.08,6531,4156,92,92,445086.21,90674751,2625862.09
"2025-01-01",0,4,"Lyft",20820,54,20766,220,427.9,681,121,0.0328,0.0058,15.76,18.75,26.36,0,0,49,49,102564.46,19689617,548742.17
"2025-01-01",0,4,"Uber",57309,61,57248,219.3,484.9,3355,945,0.0586,0.0165,16.23,20.32,28.03,5211,2913,50,50,314989.7,55796802,1606634.36
"2025-01-01",0,5,"Lyft",25402,33,25369,225.2,439.3,939,245,0.037,0.0097,16.22,18.49,27.67,0,0,28,28,127017.9,24728464,702942.82
"2025-01-01",0,5,"Uber",70941,73,70867,217.7,477,4074,1287,0.0575,0.0182,17.02,20.16,29.63,6056,3728,58,58,405797.03,72464264,2102280.82
"2025-01-01",0,6,"Lyft",35968,45,35923,259.9,494.1,1783,277,0.0496,0.0077,16.15,16.49,26.59,0,0,34,34,159667.08,34848434,956553.66
"2025-01-01",0,6,"Uber",94441,71,94370,246,531.7,6649,1656,0.0705,0.0175,17.19,18.13,27.98,7424,5044,35,35,490580.97,97390976,2642312.05
"2025-01-01",0,7,"Lyft",40826,49,40777,286.2,544.8,2855,430,0.07,0.0105,15.84,16.06,26.88,0,0,43,43,173059.48,38790533,1097576.92
"2025-01-01",0,7,"Uber",109223,57,109166,271.3,567.8,9177,2120,0.0841,0.0194,17.15,18.2,29.43,7776,5598,66,66,568040.4,112389662,3214002.59
"2025-01-01",1,1,"Lyft",10469,18,10451,293.9,677.2,1356,601,0.1297,0.0575,16.09,20.33,27.87,0,0,10,10,57074.89,10107329,291751.52
"2025-01-01",1,1,"Uber",26960,48,26911,267.8,612.6,2860,880,0.1063,0.0327,16.29,21.54,29.02,2688,1374,18,18,157651.51,26348866,782494.9
"2025-01-01",1,2,"Lyft",7692,18,7674,241,474.5,384,73,0.05,0.0095,14.98,19.61,24.55,0,0,16,16,37671.39,6914613,188860.3
"2025-01-01",1,2,"Uber",21528,29,21499,228.8,511.6,1450,399,0.0674,0.0186,15.57,21.6,27.19,1849,815,7,7,120662.25,20106863,585243.34
"2025-01-01",1,3,"Lyft",19391,145,19246,264.4,542.2,1361,316,0.0707,0.0164,16.34,15.86,40.12,0,0,31,31,83742.13,19008161,777981.94
"2025-01-01",1,3,"Uber",73601,300,73301,409.4,824,18867,5196,0.2574,0.0709,17.67,17.86,39.83,6199,3997,92,92,387138.56,78025738,2931346.89
"2025-01-01",1,4,"Lyft",11887,10,11877,208.1,398.3,265,40,0.0223,0.0034,14.79,18.75,24.64,0,0,12,12,54969.92,10551877,292869.92
"2025-01-01",1,4,"Uber",32460,56,32404,213.3,461.1,1661,382,0.0513,0.0118,15.3,20.44,26.57,2914,1498,38,38,169184.09,29793616,862527.53
"2025-01-01",1,5,"Lyft",15260,20,15240,212.8,403.6,350,65,0.023,0.0043,15.27,18.48,25.86,0,0,18,18,71775.56,13985633,394610.22
"2025-01-01",1,5,"Uber",42864,54,42810,209.1,439.9,1923,532,0.0449,0.0124,16.2,20.47,28.43,3635,2080,15,15,236987.21,41672205,1218520.94
"2025-01-01",1,6,"Lyft",28179,32,28147,246.1,461.4,1017,124,0.0361,0.0044,15.57,16.88,25.69,0,0,29,29,123417.83,26328848,724035.44
"2025-01-01",1,6,"Uber",70099,52,70047,241,513.8,4461,981,0.0637,0.014,16.57,18.64,27.62,5716,3971,43,43,360989.89,69710306,1935787.16
"2025-01-01",1,7,"Lyft",33474,40,33434,272.1,526.2,2108,349,0.063,0.0104,15.72,16.73,26.58,0,0,37,37,146769.96,31575713,889618.71
"2025-01-01",1,7,"Uber",83479,56,83423,258.2,543.7,6288,1460,0.0754,0.0175,16.6,18.75,28.85,6267,4439,50,50,432989.54,83153270,2408027.69
"2025-01-01",2,1,"Lyft",7393,50,7343,298.8,646.9,880,311,0.1198,0.0424,16.13,20.58,27.55,0,0,12,12,40900.07,7154994,203684.4
"2025-01-01",2,1,"Uber",18323,129,18194,270.9,587.8,1721,479,0.0946,0.0263,16.22,22.05,28.85,1804,791,22,22,109192.17,17829523,528566.87
"2025-01-01",2,2,"Lyft",5091,27,5064,252.6,493.7,270,47,0.0533,0.0093,14.77,19.77,24.3,0,0,8,8,24775.6,4511637,123718.24
"2025-01-01",2,2,"Uber",13877,94,13783,241.1,505.6,852,200,0.0618,0.0145,15.43,21.89,26.67,1427,509,12,12,78125.22,12845952,370146.26
"2025-01-01",2,3,"Lyft",17405,71,17334,282.4,566.7,1434,301,0.0827,0.0174,16.42,16.42,37.76,0,0,18,18,78214.84,17145935,657140.39
"2025-01-01",2,3,"Uber",60573,302,60271,391.3,812.1,13686,4387,0.2271,0.0728,17.56,18.69,38.14,5017,3276,56,56,331346.45,63818684,2310261.9
"2025-01-01",2,4,"Lyft",7967,55,7912,219.9,411,229,52,0.0289,0.0066,14.91,19.34,25.16,0,0,11,11,38285.44,7125893,200454.7
"2025-01-01",2,4,"Uber",21631,173,21458,229.1,487.4,1241,320,0.0578,0.0149,15.47,21.4,27,2110,911,9,9,119377.38,20083047,583943.92
"2025-01-01",2,5,"Lyft",10551,56,10495,223.9,416.5,271,45,0.0258,0.0043,15.2,18.99,25.85,0,0,19,19,50740.41,9619736,272736.33
"2025-01-01",2,5,"Uber",28609,134,28475,220.5,449.1,1279,292,0.0449,0.0103,15.77,20.73,27.73,2680,1325,15,15,155886.21,27066838,793286.75
"2025-01-01",2,6,"Lyft",21227,38,21189,249.6,459.6,727,90,0.0343,0.0042,15.91,17.83,26.43,0,0,23,23,100314.71,20259234,561123.01
"2025-01-01",2,6,"Uber",52163,134,52029,251.8,519.1,3342,746,0.0642,0.0143,16.42,19.36,27.91,4657,3163,23,23,276326.46,51387181,1455889.78
"2025-01-01",2,7,"Lyft",25858,46,25812,266.2,507.4,1284,182,0.0497,0.0071,16.16,17.84,27.37,0,0,23,23,124240.51,25068504,707772.6
"2025-01-01",2,7,"Uber",61816,137,61679,261.6,545.4,4569,1030,0.0741,0.0167,16.6,19.59,29.58,5084,3530,43,43,334997.25,61563845,1828692.64
"2025-01-01",3,1,"Lyft",6341,250,6091,336.8,646.5,775,160,0.1272,0.0263,16.57,21.99,30.54,0,0,14,14,38506.87,6305361,193637.73
"2025-01-01",3,1,"Uber",15864,573,15291,289.3,612.7,1610,410,0.1053,0.0268,16.65,23.64,32.02,1526,622,12,12,104061.06,15848189,507951.37
"2025-01-01",3,2,"Lyft",4612,155,4457,283.9,553.5,323,55,0.0725,0.0123,15.91,21.8,28.42,0,0,6,6,26662.32,4403794,131086.92
"2025-01-01",3,2,"Uber",12775,388,12387,260,531.6,878,182,0.0709,0.0147,16.08,23.81,30.19,1198,399,8,8,81508.78,12321788,385669.56
"2025-01-01",3,3,"Lyft",15819,189,15630,298.8,591.3,1467,268,0.0939,0.0171,16.77,18.05,31.98,0,0,20,20,79770.78,15913790,505844.73
"2025-01-01",3,3,"Uber",50449,668,49781,336.8,685.9,7403,1930,0.1487,0.0388,17.47,20.07,32.76,4225,2657,38,38,294785.97,52872877,1652855.73
"2025-01-01",3,4,"Lyft",7296,257,7039,240.7,456,252,40,0.0358,0.0057,15.96,21.83,29.22,0,0,11,11,42355.68,6984816,213183.28
"2025-01-01",3,4,"Uber",19202,697,18505,252.9,518.2,1298,288,0.0701,0.0156,16.5,23.84,31.76,1805,726,6,6,125898.73,19008276,609940.11
"2025-01-01",3,5,"Lyft",8962,252,8710,246.7,484.4,409,71,0.047,0.0082,16.3,20.9,29.83,0,0,10,10,50877.91,8762985,267307.39
"2025-01-01",3,5,"Uber",24789,768,24021,248.4,508.1,1472,324,0.0613,0.0135,16.83,22.95,31.83,2330,1139,17,17,159606.68,25038218,789047.3
"2025-01-01",3,6,"Lyft",16100,142,15958,248.1,446.2,491,59,0.0308,0.0037,16.38,18.97,28,0,0,16,16,83408.87,15825168,450774.03
"2025-01-01",3,6,"Uber",40803,481,40322,260.7,512.1,2462,534,0.0611,0.0132,16.94,20.82,29.92,3946,2533,24,24,239837.98,41467560,1220780.08
"2025-01-01",3,7,"Lyft",19366,215,19151,264.3,478.9,813,116,0.0425,0.0061,16.66,19.1,28.77,0,0,20,20,102720.94,19358970,557236.04
"2025-01-01",3,7,"Uber",46804,516,46288,269,534.9,3198,687,0.0691,0.0148,16.89,20.84,30.96,4249,2864,27,27,274549.02,47426988,1449028.86
"2025-01-01",4,1,"Lyft",8945,693,8252,352.1,686.8,1264,290,0.1532,0.0351,17.77,23.67,37.39,0,0,7,7,62696.22,9535043,334476.51
"2025-01-01",4,1,"Uber",21391,1148,20243,301.9,666.1,2659,777,0.1314,0.0384,18.14,25.53,40.36,1882,901,11,11,165115.27,23282767,863332.03
"2025-01-01",4,2,"Lyft",7766,504,7262,308.8,615,782,144,0.1077,0.0198,16.76,23.47,32.83,0,0,14,14,50933.54,7811078,254958.28
