"trip_date","operator","trips","scheduled_rides","trips_with_wait","wait_p50","wait_p90","avg_distance_miles","avg_duration_min","avg_speed_mph","avg_fare","sum_miles","sum_time_sec","sum_total_fare"
"2025-01-01","Lyft",157721,1395,156326,288.3,560.7,5.136,17.33,17.79,34.83,810076.99,163972280,5493223.22
"2025-01-01","Uber",505485,3460,502022,332.7,685.3,5.594,17.68,18.99,33.76,2827755.87,536111297,17066963.24
"2025-01-02","Lyft",124586,2319,122267,239.6,475.5,4.989,18.35,16.31,31.09,621521.74,137166182,3873990.27
"2025-01-02","Uber",404442,4203,400238,218,473.3,5.026,17.94,16.81,29.14,2032692.48,435356452,11785653.95
"2025-01-03","Lyft",150340,2247,148093,242.1,472.8,4.591,17.87,15.41,28.37,690146.82,161229987,4265126.97
"2025-01-03","Uber",462169,3739,458429,210.1,442.3,4.868,18.08,16.16,28.17,2249911.69,501352299,13018748.56
"2025-01-04","Lyft",168076,1259,166817,234.5,444.9,4.543,17.35,15.71,26.78,763554.18,174971053,4500258.09
"2025-01-04","Uber",504053,2581,501472,204.1,421.5,5.016,17.68,17.02,27.64,2528226.78,534691926,13934099.24
"2025-01-05","Lyft",143306,1325,141981,240.7,456.1,4.897,16.86,17.43,28.08,701801.54,144989573,4024136.44
"2025-01-05","Uber",442342,2536,439806,212.6,446.4,5.385,17.23,18.76,28.91,2382144.87,457212795,12787706.91
"2025-01-06","Lyft",150259,3129,147130,254.9,503.2,4.652,17.99,15.51,27.13,698974.79,162223813,4077070.22
"2025-01-06","Uber",412356,4328,408027,225.3,481.7,4.888,17.84,16.44,29.74,2015491.04,441416213,12264064.22
"2025-01-07","Lyft",165416,3027,162389,253,509.6,4.326,17.69,14.67,26.23,715664.64,175611609,4339187.44
"2025-01-07","Uber",442847,4044,438802,224.4,475.4,4.702,17.85,15.81,29.95,2082471.07,474177252,13263021.03
"2025-01-08","Lyft",175747,3249,172498,248.8,491.3,4.245,17.76,14.34,26.23,745993.4,187266657,4609159.56
"2025-01-08","Uber",464979,4211,460768,219.8,460.6,4.686,18.14,15.5,30.16,2179005.58,506191003,14022029.29
"2025-01-09","Lyft",186872,3356,183516,235.7,470.2,4.251,17.97,14.19,26.66,794348.78,201486845,4981338.66
"2025-01-09","Uber",499862,4595,495267,219.1,459.2,4.77,18.4,15.55,30.36,2384180.2,551908856,15176828.76
"2025-01-10","Lyft",178250,2784,175466,229.8,454,4.191,17.68,14.23,27.37,747022.95,189036559,4878541.16
"2025-01-10","Uber",535409,4372,531037,217.7,451.4,4.836,18.52,15.67,29.47,2589491.79,594867150,15778309.69
"2025-01-11","Lyft",181679,1222,180457,225.5,422.7,4.283,16.82,15.28,26.92,778170.75,183381422,4891630.92
"2025-01-11","Uber",572041,2356,569685,216,436.1,4.923,17.53,16.85,28.09,2816113.3,601558647,16066137.41
"2025-01-12","Lyft",147780,1052,146728,237.7,454.7,4.652,16.62,16.8,27.82,687438.81,147328236,4111815.55
"2025-01-12","Uber",485540,2333,483207,225.2,466,5.404,17.48,18.55,29.24,2624030.36,509373310,14196823.06
"2025-01-13","Lyft",136203,2854,133349,253,500.8,4.499,17.9,15.08,28.69,612821.53,146281065,3907828.58
