"trip_date","operator","trips","avg_base_fare","avg_tax","avg_congestion","avg_airport_fee","avg_toll","avg_bcf","avg_tip","avg_driver_pay","avg_total_fare","avg_platform_gross_take","avg_regulatory_load","avg_pass_through","fare_per_mile","tip_rate_on_fare","tips_to_charges","tips_share_of_paid","driver_pay_ratio","sum_base_fare","sum_total_fare","sum_tips","sum_driver_pay","sum_miles"
"2025-01-01","Lyft",157721,29.16,2.3,1.03,0.22,1.33,0.79,1.36,21.6,34.83,7.56,4.12,1.54,5.68,0.0465,0.0389,0.0375,0.7409,4599344.1,5493223.22,213907.9,3407430.39,810076.99
"2025-01-01","Uber",505485,28.3,2.38,0.83,0.16,1.31,0.79,0.98,23.86,33.76,4.44,3.99,1.47,5.06,0.0348,0.0292,0.0283,0.8431,14306042.13,17066963.24,497575.54,12061523.44,2827755.87
"2025-01-02","Lyft",124586,25.91,2.05,0.98,0.28,1.18,0.7,1.28,18.94,31.09,6.97,3.72,1.46,5.19,0.0493,0.0411,0.0395,0.731,3228073.6,3873990.27,159141.96,2359762.06,621521.74
"2025-01-02","Uber",404442,24.28,2.07,0.83,0.22,1.06,0.68,0.95,19.13,29.14,5.15,3.58,1.28,4.83,0.0389,0.0324,0.0314,0.7879,9817914.49,11785653.95,382251.41,7735837.09,2032692.48
"2025-01-03","Lyft",150340,23.59,1.9,1.03,0.22,1,0.64,1.15,17.77,28.37,5.82,3.56,1.22,5.14,0.0489,0.0407,0.0391,0.7534,3546865.16,4265126.97,173522.18,2672176.51,690146.82
"2025-01-03","Uber",462169,23.48,2.02,0.88,0.17,0.95,0.65,0.9,18.75,28.17,4.73,3.56,1.13,4.82,0.0384,0.032,0.031,0.7984,10851765.8,13018748.56,416284.46,8663908.97,2249911.69
"2025-01-04","Lyft",168076,22.09,1.79,1.14,0.18,0.98,0.6,1.14,17.36,26.78,4.73,3.53,1.16,4.86,0.0518,0.0428,0.041,0.7857,3712883.14,4500258.09,192389.68,2917091.98,763554.18
"2025-01-04","Uber",504053,22.85,1.96,1,0.16,1.03,0.64,0.98,18.77,27.64,4.08,3.6,1.2,4.56,0.0431,0.0356,0.0344,0.8215,11516730.97,13934099.24,496405.15,9461044.79,2528226.78
"2025-01-05","Lyft",143306,22.66,1.85,1.65,0.25,1.05,0.62,1.16,17.61,28.08,5.05,4.12,1.3,4.63,0.0511,0.0413,0.0396,0.7772,3247106.15,4024136.44,166078.4,2523759.47,701801.54
"2025-01-05","Uber",442342,23.5,2,1.41,0.24,1.12,0.64,0.99,18.93,28.91,4.57,4.05,1.35,4.36,0.0421,0.0342,0.0331,0.8056,10396183.48,12787706.91,437564.04,8374660.47,2382144.87
