"trip_date","operator","trips","shared_requests","shared_requested_matches","shared_orphan_matches","actual_shared_trips","wav_requests","wav_requested_matches","wav_unrequested_matches","actual_wav_trips","access_a_ride_trips","access_a_ride_wav_requests","access_a_ride_wav_requested_matches","access_a_ride_wav_matches","all_trips_with_wait","all_sum_wait_sec","all_wait_gt10","all_wait_gt15","regular_trips_with_wait","regular_sum_wait_sec","regular_wait_gt10","regular_wait_gt15","shared_matched_trips_with_wait","shared_matched_sum_wait_sec","shared_matched_wait_gt10","shared_matched_wait_gt15","shared_unmatched_trips_with_wait","shared_unmatched_sum_wait_sec","shared_unmatched_wait_gt10","shared_unmatched_wait_gt15","wav_requested_trips_with_wait","wav_requested_sum_wait_sec","wav_requested_wait_gt10","wav_requested_wait_gt15","aar_trips_with_wait","aar_sum_wait_sec","aar_wait_gt10","aar_wait_gt15","shared_request_rate","shared_match_rate","actual_shared_rate","wav_request_rate","wav_fulfillment_rate","actual_wav_rate","access_a_ride_rate"
"2025-01-01","Lyft",157721,0,0,12,12,357,357,17026,17383,156,11,11,32,156326,51467310,12356,2359,139143,45839605,10974,2109,0,0,0,0,0,0,0,0,155,75482,48,9,153,50681,9,2,0,\N,0.0001,0.0023,1,0.1102,0.001
"2025-01-01","Uber",505485,35910,23300,0,23300,742,742,39152,39894,376,34,34,55,502022,195568167,74606,19115,429387,163151499,58857,14972,22896,12255208,7995,2225,12399,5815478,2375,478,705,479447,395,155,376,161027,68,27,0.071,0.6488,0.0461,0.0015,1,0.0789,0.0007
"2025-01-02","Lyft",124586,0,0,1,1,514,514,20006,20520,247,36,36,68,122267,33780743,5595,1038,102110,28282817,4704,883,0,0,0,0,0,0,0,0,297,119735,45,11,232,71018,16,4,0,\N,0,0.0041,1,0.1647,0.002
"2025-01-02","Uber",404442,24094,12932,0,12932,1336,1336,26670,28006,459,61,61,87,400238,106027266,20731,4917,350096,88984127,15209,3505,12750,6061693,3484,946,10978,3985664,640,125,1314,705661,414,128,459,138677,38,7,0.0596,0.5367,0.032,0.0033,1,0.0692,0.0011
"2025-01-03","Lyft",150340,0,0,1,1,519,519,25665,26184,241,27,27,71,148093,40882630,6330,946,122324,33761438,5217,794,0,0,0,0,0,0,0,0,314,120685,40,8,228,71421,12,3,0,\N,0,0.0035,1,0.1742,0.0016
"2025-01-03","Uber",462169,27979,16093,0,16093,1307,1307,30221,31528,575,60,60,96,458429,115644203,19535,4373,400867,96426159,13317,2790,15943,7530954,4357,1228,11742,4157278,613,78,1282,677016,397,99,575,170529,35,7,0.0605,0.5752,0.0348,0.0028,1,0.0682,0.0012
"2025-01-04","Lyft",168076,0,0,5,5,350,350,27244,27594,192,22,22,49,166817,44295820,5668,942,139440,36999426,4672,760,0,0,0,0,0,0,0,0,205,83055,29,6,180,49145,4,0,0,\N,0,0.0021,1,0.1642,0.0011
"2025-01-04","Uber",504053,30552,18304,0,18304,777,777,33193,33970,420,45,45,73,501472,122668049,19255,4580,438831,102317777,12821,2844,18185,8496423,4835,1392,12143,4196657,579,119,768,371016,201,46,420,118714,24,6,0.0606,0.5991,0.0363,0.0015,1,0.0674,0.0008
"2025-01-05","Lyft",143306,0,0,0,0,317,317,23934,24251,137,14,14,28,141981,38636989,5339,952,118023,32089084,4392,768,0,0,0,0,0,0,0,0,165,67289,19,6,133,40399,7,1,0,\N,0,0.0022,1,0.1692,0.001
"2025-01-05","Uber",442342,28005,16553,0,16553,676,676,28996,29672,404,37,37,54,439806,112831753,20074,4988,384054,94197416,14050,3312,16425,7761093,4449,1302,11333,3980118,524,103,667,324993,168,45,404,118226,20,5,0.0633,0.5911,0.0374,0.0015,1,0.0671,0.0009
"2025-01-06","Lyft",150259,0,0,4,4,534,534,22521,23055,187,30,30,56,147130,42992161,7947,1353,124623,36484719,6717,1151,0,0,0,0,0,0,0,0,338,141019,63,11,176,54947,12,0,0,\N,0,0.0036,1,0.1534,0.0012
"2025-01-06","Uber",412356,23581,12035,0,12035,1230,1230,26746,27976,476,48,48,78,408027,110621458,21401,4790,358273,93512285,15942,3380,11888,5748485,3336,985,11380,4173386,710,102,1207,653895,387,107,476,147234,31,4,0.0572,0.5104,0.0292,0.003,1,0.0678,0.0012
"2025-01-07","Lyft",165416,0,0,6,6,554,554,21670,22224,216,20,20,45,162389,47705646,9503,1816,140618,41376318,8257,1565,0,0,0,0,0,0,0,0,352,141900,61,12,202,59083,12,3,0,\N,0,0.0033,1,0.1344,0.0013
"2025-01-07","Uber",442847,26385,14083,0,14083,1423,1423,29382,30805,533,50,50,78,438802,118213563,22206,5121,383559,99071944,15868,3537,13919,6684832,3890,1056,12152,4470301,797,143,1389,785774,512,147,533,160917,48,8,0.0596,0.5338,0.0318,0.0032,1,0.0696,0.0012
"2025-01-08","Lyft",175747,0,0,15,15,537,537,24161,24698,202,24,24,53,172498,49386092,8758,1479,148256,42522685,7623,1294,0,0,0,0,0,0,0,0,365,145476,58,11,196,66306,18,7,0,\N,0.0001,0.0031,1,0.1405,0.0011
"2025-01-08","Uber",464979,27875,15077,0,15077,1477,1477,32091,33568,557,75,75,114,460768,121030883,21237,4721,401535,100945483,14898,3038,14902,7111379,4111,1196,12638,4555401,718,131,1448,771208,458,129,557,175486,39,10,0.0599,0.5409,0.0324,0.0032,1,0.0722,0.0012
"2025-01-09","Lyft",186872,0,0,7,7,514,514,21382,21896,230,31,31,50,183516,50058732,7864,1314,162063,44349407,7016,1173,0,0,0,0,0,0,0,0,325,127263,45,14,214,63764,9,4,0,\N,0,0.0028,1,0.1172,0.0012
"2025-01-09","Uber",499862,28889,16402,0,16402,1522,1522,37927,39449,562,56,56,99,495267,130052636,23001,5488,429499,108063579,16046,3733,16197,7729717,4441,1245,12334,4491859,769,122,1499,774209,453,116,562,171828,41,14,0.0578,0.5678,0.0328,0.003,1,0.0789,0.0011
"2025-01-10","Lyft",178250,0,0,5,5,534,534,21036,21570,239,22,22,49,175466,46579169,6901,1204,154300,41027008,6097,1050,0,0,0,0,0,0,0,0,325,122006,41,9,231,74067,21,7,0,\N,0,0.003,1,0.121,0.0013
"2025-01-10","Uber",535409,31058,18004,0,18004,1365,1365,41772,43137,572,69,69,118,531037,137860895,23265,5514,459553,114290860,15908,3628,17808,8488075,4931,1356,12901,4734094,804,146,1343,695216,412,117,572,176649,47,8,0.058,0.5797,0.0336,0.0025,1,0.0806,0.0011
"2025-01-11","Lyft",181679,0,0,1,1,333,333,21867,22200,177,16,16,31,180457,45805802,4727,693,158428,40257742,4104,607,0,0,0,0,0,0,0,0,185,65091,18,5,167,44005,9,0,0,\N,0,0.0018,1,0.1222,0.001
"2025-01-11","Uber",572041,33350,20637,0,20637,746,746,44320,45066,421,55,55,80,569685,144851881,21833,4876,493716,119989702,14266,2905,20525,9737507,5588,1564,12600,4530811,645,139,742,371080,196,51,421,127392,25,8,0.0583,0.6188,0.0361,0.0013,1,0.0788,0.0007
"2025-01-12","Lyft",147780,0,0,4,4,315,315,19046,19361,143,21,21,30,146728,39637036,5547,889,127540,34482903,4774,768,0,0,0,0,0,0,0,0,166,69999,24,7,134,35918,3,0,0,\N,0,0.0021,1,0.131,0.001
"2025-01-12","Uber",485540,30750,18913,0,18913,661,661,36379,37040,390,45,45,83,483207,129596444,23902,5811,417771,107364121,16655,3952,18779,8884704,5088,1421,11761,4262989,620,118,655,328339,188,37,390,114810,24,5,0.0633,0.6151,0.039,0.0014,1,0.0763,0.0008
"2025-01-13","Lyft",136203,0,0,5,5,560,560,21960,22520,215,25,25,60,133349,38711203,7020,1167,111362,32359395,5880,980,0,0,0,0,0,0,0,0,371,139857,47,6,203,63369,14,1,0,\N,0,0.0041,1,0.1653,0.0016
