"trip_date","hour_of_day","day_of_week","operator","trips","shared_requests","shared_requested_matches","shared_orphan_matches","actual_shared_trips","wav_requests","wav_requested_matches","wav_unrequested_matches","actual_wav_trips","access_a_ride_trips","access_a_ride_wav_requests","access_a_ride_wav_requested_matches","access_a_ride_wav_matches"
"2025-01-01",0,3,"Lyft",10733,0,0,2,2,14,14,1098,1112,12,0,0,1
"2025-01-01",0,3,"Uber",46082,2822,2119,0,2119,61,61,3535,3596,22,2,2,2
"2025-01-01",1,3,"Lyft",10682,0,0,1,1,18,18,899,917,8,0,0,1
"2025-01-01",1,3,"Uber",50320,4036,2981,0,2981,73,73,3831,3904,28,2,2,3
"2025-01-01",2,3,"Lyft",11791,0,0,3,3,14,14,1062,1076,9,0,0,1
"2025-01-01",2,3,"Uber",45541,3571,2719,0,2719,41,41,3593,3634,17,0,0,1
"2025-01-01",3,3,"Lyft",10742,0,0,4,4,11,11,1089,1100,6,1,1,1
"2025-01-01",3,3,"Uber",36536,2880,2190,0,2190,27,27,3001,3028,14,3,3,4
"2025-01-01",4,3,"Lyft",9237,0,0,1,1,12,12,1010,1022,3,0,0,0
"2025-01-01",4,3,"Uber",23560,1983,1417,0,1417,19,19,1913,1932,7,2,2,2
"2025-01-01",5,3,"Lyft",6198,0,0,0,0,9,9,672,681,2,0,0,0
"2025-01-01",5,3,"Uber",15560,1521,1023,0,1023,8,8,1165,1173,4,0,0,1
"2025-01-01",6,3,"Lyft",4958,0,0,0,0,5,5,512,517,2,1,1,1
"2025-01-01",6,3,"Uber",12530,1340,943,0,943,7,7,889,896,1,0,0,0
"2025-01-01",7,3,"Lyft",4333,0,0,0,0,4,4,446,450,2,0,0,0
"2025-01-01",7,3,"Uber",11817,1279,835,0,835,4,4,901,905,2,0,0,0
"2025-01-01",8,3,"Lyft",3395,0,0,0,0,9,9,357,366,1,0,0,1
"2025-01-01",8,3,"Uber",10704,902,508,0,508,13,13,743,756,8,2,2,2
"2025-01-01",9,3,"Lyft",3414,0,0,0,0,9,9,371,380,1,1,1,1
"2025-01-01",9,3,"Uber",10457,674,332,0,332,15,15,756,771,9,0,0,1
"2025-01-01",10,3,"Lyft",4102,0,0,0,0,13,13,454,467,4,0,0,1
"2025-01-01",10,3,"Uber",11528,560,252,0,252,19,19,804,823,5,1,1,3
"2025-01-01",11,3,"Lyft",4809,0,0,0,0,14,14,534,548,6,0,0,0
"2025-01-01",11,3,"Uber",13132,591,271,0,271,25,25,919,944,11,0,0,0
"2025-01-01",12,3,"Lyft",5590,0,0,0,0,12,12,655,667,4,1,1,2
"2025-01-01",12,3,"Uber",14268,633,304,0,304,43,43,1033,1076,18,3,3,3
"2025-01-01",13,3,"Lyft",6124,0,0,1,1,11,11,740,751,8,1,1,1
"2025-01-01",13,3,"Uber",16237,789,365,0,365,53,53,1264,1317,29,3,3,5
"2025-01-01",14,3,"Lyft",6754,0,0,0,0,28,28,810,838,10,1,1,1
"2025-01-01",14,3,"Uber",18447,1102,614,0,614,35,35,1506,1541,25,0,0,1
"2025-01-01",15,3,"Lyft",6901,0,0,0,0,27,27,813,840,14,2,2,3
"2025-01-01",15,3,"Uber",19984,1222,638,0,638,49,49,1741,1790,22,5,5,6
"2025-01-01",16,3,"Lyft",6506,0,0,0,0,23,23,755,778,13,1,1,4
"2025-01-01",16,3,"Uber",19426,1181,618,0,618,40,40,1666,1706,17,0,0,3
"2025-01-01",17,3,"Lyft",6934,0,0,0,0,21,21,830,851,10,2,2,2
"2025-01-01",17,3,"Uber",20673,1283,686,0,686,43,43,1715,1758,32,1,1,4
"2025-01-01",18,3,"Lyft",6720,0,0,0,0,19,19,779,798,10,0,0,3
"2025-01-01",18,3,"Uber",20819,1176,619,0,619,40,40,1735,1775,26,1,1,2
"2025-01-01",19,3,"Lyft",6284,0,0,0,0,20,20,696,716,13,0,0,3
"2025-01-01",19,3,"Uber",19984,1286,749,0,749,37,37,1628,1665,21,1,1,2
"2025-01-01",20,3,"Lyft",5941,0,0,0,0,18,18,650,668,7,0,0,2
"2025-01-01",20,3,"Uber",18886,1170,666,0,666,33,33,1416,1449,17,0,0,1
"2025-01-01",21,3,"Lyft",5666,0,0,0,0,23,23,634,657,7,0,0,2
"2025-01-01",21,3,"Uber",17809,1243,743,0,743,26,26,1274,1300,16,3,3,4
"2025-01-01",22,3,"Lyft",5410,0,0,0,0,15,15,630,645,4,0,0,1
"2025-01-01",22,3,"Uber",16559,1287,811,0,811,17,17,1171,1188,14,3,3,3
"2025-01-01",23,3,"Lyft",4497,0,0,0,0,8,8,530,538,0,0,0,0
"2025-01-01",23,3,"Uber",14626,1379,897,0,897,14,14,953,967,11,2,2,2
"2025-01-02",0,4,"Lyft",3386,0,0,0,0,10,10,362,372,5,0,0,0
"2025-01-02",0,4,"Uber",10091,1058,598,0,598,10,10,684,694,6,1,1,1
"2025-01-02",1,4,"Lyft",1954,0,0,0,0,1,1,235,236,0,0,0,0
"2025-01-02",1,4,"Uber",6021,540,247,0,247,10,10,400,410,7,1,1,1
"2025-01-02",2,4,"Lyft",1433,0,0,0,0,3,3,156,159,2,0,0,0
"2025-01-02",2,4,"Uber",4288,414,184,0,184,4,4,271,275,4,1,1,1
"2025-01-02",3,4,"Lyft",1434,0,0,0,0,2,2,174,176,1,0,0,0
"2025-01-02",3,4,"Uber",3943,357,139,0,139,1,1,227,228,1,1,1,1
"2025-01-02",4,4,"Lyft",2057,0,0,0,0,4,4,213,217,0,0,0,0
"2025-01-02",4,4,"Uber",5026,504,239,0,239,3,3,298,301,1,0,0,0
"2025-01-02",5,4,"Lyft",2741,0,0,0,0,6,6,318,324,4,0,0,1
"2025-01-02",5,4,"Uber",7256,652,387,0,387,6,6,468,474,7,0,0,2
"2025-01-02",6,4,"Lyft",4398,0,0,0,0,7,7,465,472,5,0,0,0
"2025-01-02",6,4,"Uber",12837,1112,679,0,679,8,8,825,833,14,0,0,0
"2025-01-02",7,4,"Lyft",7158,0,0,1,1,13,13,657,670,5,2,2,4
"2025-01-02",7,4,"Uber",20358,1432,957,0,957,32,32,1433,1465,19,0,0,2
"2025-01-02",8,4,"Lyft",8115,0,0,0,0,30,30,788,818,19,2,2,4
"2025-01-02",8,4,"Uber",24441,1516,920,0,920,62,62,1762,1824,32,4,4,6
"2025-01-02",9,4,"Lyft",6622,0,0,0,0,31,31,705,736,16,4,4,4
"2025-01-02",9,4,"Uber",20441,1031,496,0,496,90,90,1374,1464,21,0,0,2
"2025-01-02",10,4,"Lyft",6203,0,0,0,0,39,39,975,1014,20,3,3,6
"2025-01-02",10,4,"Uber",18203,674,238,0,238,124,124,1119,1243,21,2,2,3
"2025-01-02",11,4,"Lyft",5578,0,0,0,0,35,35,1118,1153,13,2,2,4
"2025-01-02",11,4,"Uber",17935,562,175,0,175,124,124,1097,1221,29,1,1,2
"2025-01-02",12,4,"Lyft",5426,0,0,0,0,53,53,1264,1317,19,7,7,9
"2025-01-02",12,4,"Uber",18396,580,178,0,178,128,128,1108,1236,28,8,8,9
"2025-01-02",13,4,"Lyft",5839,0,0,0,0,49,49,1302,1351,19,4,4,4
"2025-01-02",13,4,"Uber",19734,794,358,0,358,130,130,1204,1334,35,5,5,9
"2025-01-02",14,4,"Lyft",6543,0,0,0,0,36,36,1281,1317,17,2,2,4
"2025-01-02",14,4,"Uber",21656,1002,430,0,430,148,148,1455,1603,36,7,7,11
"2025-01-02",15,4,"Lyft",6612,0,0,0,0,43,43,1240,1283,26,2,2,3
"2025-01-02",15,4,"Uber",22279,1207,614,0,614,108,108,1474,1582,35,8,8,9
"2025-01-02",16,4,"Lyft",6701,0,0,0,0,35,35,1239,1274,19,2,2,6
"2025-01-02",16,4,"Uber",22964,1173,573,0,573,101,101,1555,1656,33,4,4,4
"2025-01-02",17,4,"Lyft",7213,0,0,0,0,32,32,1263,1295,19,1,1,5
"2025-01-02",17,4,"Uber",25832,1478,788,0,788,75,75,1801,1876,40,5,5,6
"2025-01-02",18,4,"Lyft",6832,0,0,0,0,25,25,1204,1229,11,2,2,5
"2025-01-02",18,4,"Uber",25457,1430,771,0,771,48,48,1847,1895,23,1,1,1
"2025-01-02",19,4,"Lyft",6498,0,0,0,0,12,12,1214,1226,8,0,0,3
"2025-01-02",19,4,"Uber",22892,1319,741,0,741,38,38,1547,1585,17,2,2,3
"2025-01-02",20,4,"Lyft",5840,0,0,0,0,16,16,1149,1165,3,1,1,1
"2025-01-02",20,4,"Uber",20375,1279,762,0,762,33,33,1373,1406,22,1,1,3
"2025-01-02",21,4,"Lyft",5764,0,0,0,0,16,16,1022,1038,12,2,2,4
"2025-01-02",21,4,"Uber",19387,1245,686,0,686,24,24,1240,1264,15,6,6,7
"2025-01-02",22,4,"Lyft",5554,0,0,0,0,4,4,876,880,2,0,0,1
"2025-01-02",22,4,"Uber",18402,1326,844,0,844,17,17,1166,1183,9,2,2,2
"2025-01-02",23,4,"Lyft",4685,0,0,0,0,12,12,786,798,2,0,0,0
"2025-01-02",23,4,"Uber",16228,1409,928,0,928,12,12,942,954,4,1,1,2
"2025-01-03",0,5,"Lyft",3833,0,0,0,0,7,7,697,704,1,0,0,0
"2025-01-03",0,5,"Uber",11970,1190,749,0,749,13,13,687,700,7,2,2,2
"2025-01-03",1,5,"Lyft",2461,0,0,0,0,3,3,441,444,1,0,0,0
"2025-01-03",1,5,"Uber",7514,847,493,0,493,4,4,451,455,1,0,0,0
"2025-01-03",2,5,"Lyft",1723,0,0,0,0,4,4,343,347,2,0,0,1
"2025-01-03",2,5,"Uber",5273,635,349,0,349,5,5,293,298,1,1,1,1
"2025-01-03",3,5,"Lyft",1491,0,0,0,0,2,2,334,336,0,0,0,0
"2025-01-03",3,5,"Uber",4613,504,265,0,265,3,3,231,234,2,0,0,0
"2025-01-03",4,5,"Lyft",1971,0,0,0,0,2,2,385,387,1,1,1,1
"2025-01-03",4,5,"Uber",5525,571,325,0,325,3,3,246,249,5,0,0,0
"2025-01-03",5,5,"Lyft",2714,0,0,0,0,9,9,379,388,4,0,0,0
"2025-01-03",5,5,"Uber",7572,738,414,0,414,8,8,463,471,9,1,1,2
"2025-01-03",6,5,"Lyft",4593,0,0,0,0,3,3,551,554,4,1,1,1
"2025-01-03",6,5,"Uber",13196,1072,690,0,690,9,9,853,862,13,0,0,0
"2025-01-03",7,5,"Lyft",7083,0,0,0,0,11,11,747,758,9,2,2,2
"2025-01-03",7,5,"Uber",21284,1426,933,0,933,22,22,1419,1441,24,1,1,1
"2025-01-03",8,5,"Lyft",8059,0,0,0,0,32,32,1244,1276,14,1,1,4
"2025-01-03",8,5,"Uber",25613,1560,930,0,930,64,64,1539,1603,34,2,2,3
"2025-01-03",9,5,"Lyft",6597,0,0,0,0,40,40,1206,1246,9,0,0,2
"2025-01-03",9,5,"Uber",21855,1116,578,0,578,95,95,1254,1349,29,3,3,4
"2025-01-03",10,5,"Lyft",6185,0,0,0,0,50,50,1272,1322,14,2,2,7
"2025-01-03",10,5,"Uber",19313,855,368,0,368,107,107,1092,1199,41,2,2,8
"2025-01-03",11,5,"Lyft",5842,0,0,0,0,37,37,1242,1279,19,2,2,5
"2025-01-03",11,5,"Uber",19351,684,226,0,226,122,122,1118,1240,34,5,5,6
"2025-01-03",12,5,"Lyft",5921,0,0,0,0,49,49,1165,1214,12,1,1,3
"2025-01-03",12,5,"Uber",20078,778,302,0,302,134,134,1149,1283,35,4,4,6
"2025-01-03",13,5,"Lyft",6222,0,0,0,0,35,35,1207,1242,18,1,1,5
"2025-01-03",13,5,"Uber",21546,942,447,0,447,138,138,1357,1495,34,2,2,5
"2025-01-03",14,5,"Lyft",7002,0,0,0,0,41,41,1295,1336,18,4,4,8
"2025-01-03",14,5,"Uber",23927,1215,605,0,605,124,124,1662,1786,39,3,3,5
"2025-01-03",15,5,"Lyft",6942,0,0,0,0,40,40,1301,1341,25,2,2,6
"2025-01-03",15,5,"Uber",24648,1334,695,0,695,90,90,1764,1854,53,5,5,9
"2025-01-03",16,5,"Lyft",7833,0,0,0,0,28,28,1482,1510,21,4,4,4
"2025-01-03",16,5,"Uber",25131,1334,695,0,695,84,84,1750,1834,56,10,10,12
"2025-01-03",17,5,"Lyft",9165,0,0,1,1,26,26,1540,1566,15,2,2,5
"2025-01-03",17,5,"Uber",28254,1570,883,0,883,79,79,2028,2107,34,5,5,9
"2025-01-03",18,5,"Lyft",9629,0,0,0,0,25,25,1549,1574,11,2,2,4
"2025-01-03",18,5,"Uber",28959,1559,861,0,861,62,62,2139,2201,29,2,2,3
"2025-01-03",19,5,"Lyft",10176,0,0,0,0,21,21,1668,1689,6,1,1,3
"2025-01-03",19,5,"Uber",28356,1528,943,0,943,46,46,2073,2119,30,3,3,3
"2025-01-03",20,5,"Lyft",8682,0,0,0,0,17,17,1428,1445,8,1,1,2
"2025-01-03",20,5,"Uber",24881,1538,928,0,928,33,33,1751,1784,21,1,1,3
"2025-01-03",21,5,"Lyft",8549,0,0,0,0,15,15,1408,1423,10,0,0,2
"2025-01-03",21,5,"Uber",24149,1458,916,0,916,26,26,1636,1662,26,6,6,9
"2025-01-03",22,5,"Lyft",9007,0,0,0,0,10,10,1455,1465,12,0,0,3
"2025-01-03",22,5,"Uber",24790,1692,1171,0,1171,21,21,1615,1636,12,1,1,3
"2025-01-03",23,5,"Lyft",8660,0,0,0,0,12,12,1326,1338,7,0,0,3
"2025-01-03",23,5,"Uber",24371,1833,1327,0,1327,15,15,1651,1666,6,1,1,2
"2025-01-04",0,6,"Lyft",7766,0,0,0,0,11,11,1073,1084,0,0,0,0
"2025-01-04",0,6,"Uber",19910,1643,1103,0,1103,8,8,1396,1404,8,1,1,1
"2025-01-04",1,6,"Lyft",5918,0,0,0,0,8,8,822,830,0,0,0,0
"2025-01-04",1,6,"Uber",14498,1296,872,0,872,5,5,991,996,4,0,0,0
"2025-01-04",2,6,"Lyft",4306,0,0,0,0,5,5,583,588,0,0,0,0
"2025-01-04",2,6,"Uber",10436,1029,648,0,648,4,4,679,683,3,1,1,1
"2025-01-04",3,6,"Lyft",3202,0,0,0,0,3,3,464,467,2,1,1,1
"2025-01-04",3,6,"Uber",8636,959,607,0,607,7,7,522,529,3,1,1,2
"2025-01-04",4,6,"Lyft",2789,0,0,0,0,6,6,422,428,1,0,0,0
"2025-01-04",4,6,"Uber",7132,793,425,0,425,7,7,348,355,3,0,0,0
"2025-01-04",5,6,"Lyft",2506,0,0,1,1,4,4,416,420,1,0,0,0
"2025-01-04",5,6,"Uber",6685,670,385,0,385,5,5,362,367,2,0,0,0
"2025-01-04",6,6,"Lyft",3191,0,0,0,0,5,5,496,501,1,0,0,1
"2025-01-04",6,6,"Uber",9187,975,583,0,583,3,3,498,501,0,0,0,0
"2025-01-04",7,6,"Lyft",3676,0,0,0,0,8,8,620,628,1,1,1,1
"2025-01-04",7,6,"Uber",11957,1115,659,0,659,7,7,650,657,5,0,0,0
"2025-01-04",8,6,"Lyft",4500,0,0,0,0,9,9,766,775,5,0,0,1
"2025-01-04",8,6,"Uber",15144,1157,676,0,676,17,17,834,851,16,1,1,3
"2025-01-04",9,6,"Lyft",5432,0,0,0,0,13,13,829,842,10,1,1,3
"2025-01-04",9,6,"Uber",18094,1060,519,0,519,30,30,1018,1048,14,0,0,1
"2025-01-04",10,6,"Lyft",6147,0,0,0,0,19,19,1026,1045,9,1,1,1
"2025-01-04",10,6,"Uber",20464,919,411,0,411,31,31,1169,1200,22,3,3,4
"2025-01-04",11,6,"Lyft",6643,0,0,0,0,23,23,1070,1093,12,1,1,3
"2025-01-04",11,6,"Uber",22106,903,425,0,425,49,49,1324,1373,36,3,3,3
"2025-01-04",12,6,"Lyft",7040,0,0,0,0,28,28,1140,1168,21,4,4,5
"2025-01-04",12,6,"Uber",23090,1017,488,0,488,52,52,1467,1519,26,5,5,9
"2025-01-04",13,6,"Lyft",7254,0,0,0,0,20,20,1249,1269,18,2,2,7
"2025-01-04",13,6,"Uber",24568,1080,538,0,538,78,78,1593,1671,35,5,5,5
"2025-01-04",14,6,"Lyft",7329,0,0,0,0,20,20,1345,1365,18,2,2,2
"2025-01-04",14,6,"Uber",25482,1287,668,0,668,63,63,1786,1849,33,5,5,6
"2025-01-04",15,6,"Lyft",7781,0,0,0,0,17,17,1436,1453,9,1,1,4
"2025-01-04",15,6,"Uber",26977,1345,741,0,741,52,52,1897,1949,30,3,3,4
"2025-01-04",16,6,"Lyft",7940,0,0,2,2,20,20,1460,1480,10,2,2,5
"2025-01-04",16,6,"Uber",28143,1362,726,0,726,65,65,1948,2013,36,5,5,8
"2025-01-04",17,6,"Lyft",10096,0,0,0,0,25,25,1777,1802,14,2,2,3
"2025-01-04",17,6,"Uber",29656,1552,911,0,911,60,60,2068,2128,34,5,5,6
