"month","operator","bucket_order","wait_bucket","trips_with_wait"
"2025-01-01","Lyft",1,"0-30 сек",2049
"2025-01-01","Uber",1,"0-30 сек",15167
"2025-01-01","Lyft",2,"30-60 сек",25781
"2025-01-01","Uber",2,"30-60 сек",192768
"2025-01-01","Lyft",3,"1-2 мин",460440
"2025-01-01","Uber",3,"1-2 мин",1545475
"2025-01-01","Lyft",4,"2-3 мин",888059
"2025-01-01","Uber",4,"2-3 мин",3167019
"2025-01-01","Lyft",5,"3-4 мин",1019041
"2025-01-01","Uber",5,"3-4 мин",3261131
"2025-01-01","Lyft",6,"4-5 мин",846998
"2025-01-01","Uber",6,"4-5 мин",2353579
"2025-01-01","Lyft",7,"5-6 мин",587321
"2025-01-01","Uber",7,"5-6 мин",1527596
"2025-01-01","Lyft",8,"6-8 мин",622777
"2025-01-01","Uber",8,"6-8 мин",1615914
"2025-01-01","Lyft",9,"8-10 мин",267747
"2025-01-01","Uber",9,"8-10 мин",733264
"2025-01-01","Lyft",10,"10-15 мин",192959
"2025-01-01","Uber",10,"10-15 мин",623876
"2025-01-01","Lyft",11,"15-20 мин",32324
"2025-01-01","Uber",11,"15-20 мин",141294
"2025-01-01","Lyft",12,"20-25 мин",7271
"2025-01-01","Uber",12,"20-25 мин",32516
"2025-01-01","Lyft",13,"25-30 мин",2144
"2025-01-01","Uber",13,"25-30 мин",8944
"2025-01-01","Lyft",14,"30+ мин",1232
"2025-01-01","Uber",14,"30+ мин",7567
"2025-02-01","Lyft",1,"0-30 сек",1984
"2025-02-01","Uber",1,"0-30 сек",15068
"2025-02-01","Lyft",2,"30-60 сек",23482
"2025-02-01","Uber",2,"30-60 сек",166845
"2025-02-01","Lyft",3,"1-2 мин",401978
"2025-02-01","Uber",3,"1-2 мин",1317072
"2025-02-01","Lyft",4,"2-3 мин",814155
"2025-02-01","Uber",4,"2-3 мин",2761978
"2025-02-01","Lyft",5,"3-4 мин",976772
"2025-02-01","Uber",5,"3-4 мин",2987621
"2025-02-01","Lyft",6,"4-5 мин",846631
"2025-02-01","Uber",6,"4-5 мин",2281149
"2025-02-01","Lyft",7,"5-6 мин",607582
"2025-02-01","Uber",7,"5-6 мин",1537134
"2025-02-01","Lyft",8,"6-8 мин",652107
"2025-02-01","Uber",8,"6-8 мин",1660115
"2025-02-01","Lyft",9,"8-10 мин",269261
"2025-02-01","Uber",9,"8-10 мин",741908
"2025-02-01","Lyft",10,"10-15 мин",194416
"2025-02-01","Uber",10,"10-15 мин",634742
"2025-02-01","Lyft",11,"15-20 мин",36138
"2025-02-01","Uber",11,"15-20 мин",149212
"2025-02-01","Lyft",12,"20-25 мин",8325
"2025-02-01","Uber",12,"20-25 мин",32837
"2025-02-01","Lyft",13,"25-30 мин",2312
"2025-02-01","Uber",13,"25-30 мин",8802
"2025-02-01","Lyft",14,"30+ мин",1327
"2025-02-01","Uber",14,"30+ мин",5984
"2025-03-01","Lyft",1,"0-30 сек",2322
"2025-03-01","Uber",1,"0-30 сек",16222
"2025-03-01","Lyft",2,"30-60 сек",28630
"2025-03-01","Uber",2,"30-60 сек",183090
"2025-03-01","Lyft",3,"1-2 мин",471187
"2025-03-01","Uber",3,"1-2 мин",1392320
